Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
614,Capital Moved to Astana,Unknown,Unknown,1997,Uzbekistan,Administrative Change,Astana,Moving the capital was aimed at political and economic development.,Kazakh citizens,Nursultan Nazarbayev,Mixed,41.6430369,60.4062707
615,Independence from the Soviet Union,1,September,1991,Uzbekistan,Independence,Uzbekistan,Uzbekistan declares independence following the dissolution of the Soviet Union.,Uzbek citizens,Unknown,Positive,41.377491,64.585262
616,Death of Islam Karimov,Unknown,September,2016,Uzbekistan,Political Change,Bhutan,Transition of power after the death of longUnknowntime leader Islam Karimov.,Uzbek citizens,Unknown,Mixed,41.377491,64.585262
617,Introduction of Television,Unknown,June,1999,Bhutan,Cultural Change,Bhutan,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck,Positive,27.514162,90.433601
618,First Democratic Elections,Unknown,March,2008,Bhutan,Political Development,Bhutan,Transition to a constitutional monarchy with the first democratic elections.,Bhutanese citizens,Jigme Khesar Namgyel Wangchuck,Positive,27.514162,90.433601
619,Introduction of a Multiparty System,Unknown,June,2005,Maldives,Political Reform,Maldives,Reformation towards a more democratic political system.,Maldivian citizens,Maumoon Abdul Gayoom,Positive,3.202778,73.22068
620,2004 Tsunami Impact,26,December,2004,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,Unknown,Negative,3.202778,73.22068
621,Independence from the United Kingdom,31,August,1957,Malaysia,Independence,Malaya,"End of British colonial rule, establishment of the Federation of Malaya.",Malaysian citizens,Tunku Abdul Rahman,Positive,3.9743406,102.4380581
622,Formation of Malaysia,16,September,1963,Malaysia,State Formation,Malaysia,"Merger of Malaya, Sabah, Sarawak, and Singapore into Malaysia; Singapore later exits in 1965.","Malaysian, Singaporean citizens",Tunku Abdul Rahman,Positive,4.210484,101.975766
623,1969 Race Riots,13,May,1969,Malaysia,Civil Unrest,Kuala Lumpur,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.,Malaysian citizens,Unknown,Negative,3.1319197,101.6840589
624,New Economic Policy Introduced,Unknown,Unknown,1971,Malaysia,Economic Policy,Malaysia,Aimed at eradicating poverty and restructuring societal economic imbalance.,Malaysian citizens,Abdul Razak Hussein,Mixed,4.210484,101.975766
625,Green Movement,Unknown,June,2009,Iran,Political Movement,Iran,"Protests over the disputed presidential election results, calling for political reform.",Iranian citizens,Opposition supporters,Negative,32.427908,53.688046
626,ISIS Captures Mosul,10,June,2014,Mosul,Military Occupation,Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions.",Iraqi citizens,ISIS,Negative,36.3489278,43.157736
627,Zhanaozen Massacre,16,December,2011,Zhanaozen,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative,43.3356206,52.855548
628,Currency Convertibility Introduced,Unknown,September,2017,Uzbekistan,Economic Policy,Uzbekistan,Introduction of currency convertibility to boost investment and economic liberalization.,Uzbek citizens,Shavkat Mirziyoyev,Positive,41.377491,64.585262
629,Gross National Happiness Introduced,Unknown,Unknown,1972,Bhutan,Social Policy,Bhutan,Concept of measuring and promoting happiness as a goal of governance.,Bhutanese citizens,King Jigme Singye Wangchuck,Positive,27.514162,90.433601
630,Political Crisis and State of Emergency,Unknown,February,2018,Maldives,Political Crisis,Malé,Political tensions leading to a state of emergency and concerns over democracy.,Maldivian citizens,Abdulla Yameen,Negative,4.175270900000001,73.50911719999999
631,1MDB Scandal,Unknown,Unknown,2015,Malaysia,Corruption Scandal,Malaysia,A major corruption scandal involving the state fund 1MDB and leading political figures.,Malaysian citizens,Najib Razak,Negative,4.210484,101.975766
632,US Withdrawal from the JCPOA,8,May,2018,Iran,Diplomatic Event,Iran,"US withdrawal from the nuclear deal, leading to heightened tensions and economic sanctions.",Iranian citizens,Donald Trump,Negative,32.427908,53.688046
633,Protests Against Corruption and Unemployment,Unknown,October,2019,Iraq,Civil Unrest,Baghdad,Nationwide protests demanding political reform and action against corruption.,Iraqi citizens,Protesters,Negative,33.315241,44.3660671
634,Presidential Transition,19,March,2019,Kazakhstan,Political Change,NurUnknownSultan,"Nursultan Nazarbayev resigns after decades in power, KassymUnknownJomart Tokayev becomes president.",Kazakh citizens,"Nursultan Nazarbayev, KassymUnknownJomart Tokayev",Mixed,48.019573,66.923684
635,Release of Political Prisoners,Unknown,Unknown,2016,Uzbekistan,Human Rights Improvement,Uzbekistan,"Following Karimov's death, numerous political prisoners were released as part of reforms.",Uzbek political prisoners,Shavkat Mirziyoyev,Positive,41.377491,64.585262
636,Decriminalization of Homosexuality,17,December,2020,Bhutan,Legal Reform,Bhutan,Amendment of the penal code to decriminalize sameUnknownsex relationships.,Bhutanese citizens,Bhutanese Parliament,Positive,27.514162,90.433601
637,Presidential Election Victory of Ibrahim Solih,23,September,2018,Maldives,Electoral Victory,Maldives,Marked a significant shift in the political landscape towards democratic reform.,Maldivian citizens,Ibrahim Mohamed Solih,Positive,3.202778,73.22068
638,Pakatan Harapan Electoral Victory,9,May,2018,Malaysia,General Election,Malaysia,"The opposition coalition's victory, ending six decades of UMNOUnknownled government rule.",Malaysian citizens,Mahathir Mohamad,Positive,4.210484,101.975766
639,Malaysia Airlines Flight MH370 Disappearance,8,March,2014,Malaysia,Aviation,Southern Indian Ocean,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777Unknown200ER,Negative,4.210484,101.975766
640,Japan Airlines Flight 123,12,August,1985,Japan,Aviation,Mount Takamagahara,The world's deadliest singleUnknownaircraft accident with 520 fatalities.,520 passengers & crew,Boeing 747SR,Negative,35.991779,138.68875
641,China Airlines Flight 611,25,May,2002,Taiwan,Aviation,Taiwan Strait,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative,24.3579328,119.7889248
642,Korean Air Flight 801,6,August,1997,South Korea,Aviation,Guam,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747Unknown300,Negative,13.3823791,144.6972774
643,AirAsia Flight QZ8501,28,December,2014,Indonesia,Aviation,Java Sea,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320Unknown216,Negative,-7.614529200000001,110.7122465
644,Pakistan International Airlines Flight 268,28,September,1992,Pakistan,Aviation,Kathmandu,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4Unknown203,Negative,27.7103145,85.3221634
645,Philippine Airlines Flight 434,11,December,1994,Philippines,Aviation,Okinawa,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747Unknown283B,Negative,12.879721,121.774017
646,SilkAir Flight 185,19,December,1997,Singapore,Aviation,Musi River,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial.",104 passengers & crew,Boeing 737Unknown36N,Negative,1.352083,103.819836
647,OneUnknownTwoUnknownGO Airlines Flight 269,16,September,2007,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative,7.8804479,98.3922504
648,MV Sewol Ferry Sinking,16,April,2014,South Korea,Maritime,Yellow Sea,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative,35.907757,127.766922
649,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima Prefecture,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative,37.3834373,140.1832516
650,Wenzhou Train Collision,23,July,2011,China,Rail,Wenzhou,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative,27.9949199,120.69939
651,MV Doña Paz Collision,20,December,1987,Philippines,Maritime,Tablas Strait,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths.","Over 4,300 passengers & crew","MV Doña Paz, MT Vector",Negative,12.6250679,121.7195459
652,Nedelin Catastrophe,24,October,1960,Russia,Spacecraft Accident,Baikonur Cosmodrome,"Explosion during missile test, killing over 100 people, including top missile program personnel.",Military and technical staff,RUnknown16 ballistic missile,Negative,45.9645851,63.30524269999999
653,Sidoarjo Mud Flow,29,May,2006,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative,-7.449771799999999,112.7015495
654,Tham Luang Cave Rescue,23,June,2018,Thailand,Rescue Operation,Tham Luang Cave,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort.",12 boys and their coach,"Divers, pumps, and rescue equipment",Positive,20.3813524,99.8679087
655,Declaration of Independence,4,July,1776,USA,Political,Philadelphia,Marked the USA's declaration of independence from British rule.,American colonies,Continental Congress,Positive,39.9525839,-75.1652215
656,Louisiana Purchase,30,April,1803,USA,Territorial Acquisition,Midwest,"Doubled the size of the USA, acquiring territory from France.",American settlers,Thomas Jefferson,Positive,42.5246357,-92.4604145
657,Civil War,12,April,1861,USA,War,Southern USA,"Resolved the issues of slavery and secession, preserving the Union.",American citizens,"Abraham Lincoln, Jefferson Davis",Mixed,37.8431142,-78.3534145
658,Women's Suffrage (19th Amendment),18,August,1920,USA,Legislative,Nationwide,Granted women the right to vote.,Women across the USA,Suffragists,Positive,,
659,Stock Market Crash of 1929,29,October,1929,USA,Economic,"Wall Street, NY","Led to the Great Depression, impacting global economy.",Global population,Unknown,Negative,40.7060218,-74.0088173
660,Moon Landing (Apollo 11),20,July,1969,USA,Space Exploration,Moon,First successful manned mission to the Moon.,Global population,"NASA, Neil Armstrong, Buzz Aldrin",Positive,38.7945952,-106.5348379
661,Civil Rights Act of 1964,2,July,1964,USA,Legislative,Nationwide,"Prohibited discrimination based on race, color, religion, sex, or national origin.",American citizens,Lyndon B. Johnson,Positive,,
662,September 11 Attacks,11,September,2001,USA,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative,40.7127753,-74.0059728
663,First Mars Helicopter Flight,19,April,2021,USA,Space Exploration,Mars,Ingenuity helicopter made the first powered flight on another planet.,Global population,NASA,Positive,,
664,Brown v. Board of Education,17,May,1954,USA,Judicial,"Topeka, Kansas",Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.,African American students,"Supreme Court, Thurgood Marshall",Positive,39.0473451,-95.67515759999999
665,Vietnam War,             ,Unknown,1955,USA,Military,Vietnam,Controversial conflict that sparked widespread protests and led to significant casualties.,American and Vietnamese,Multiple US Administrations,Negative,38.7945952,-106.5348379
666,Watergate Scandal,17,June,1972,USA,Political Scandal,Washington D.C.,Led to the resignation of President Richard Nixon.,American public,"Richard Nixon, Democratic Party",Negative,38.9071923,-77.0368707
667,Challenger Space Shuttle Disaster,28,January,1986,USA,Space Exploration Disaster,"Cape Canaveral, FL","Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members.","Astronauts, general public",NASA,Negative,28.3922182,-80.60771319999999
668,Fall of the Berlin Wall,9,November,1989,USA,International,"Berlin, Germany",Symbolized the end of the Cold War and led to German reunification; significant US involvement.,Global population,"Ronald Reagan, Mikhail Gorbachev",Positive,52.52000659999999,13.404954
669,Oklahoma City Bombing,19,April,1995,USA,Domestic Terrorism,"Oklahoma City, OK","Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols",Negative,35.4688692,-97.519539
670,Hurricane Katrina,29,August,2005,USA,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative,38.7945952,-106.5348379
671,Black Lives Matter Movement,             ,Unknown,2013,USA,Social Movement,Nationwide,Movement against violence and systemic racism towards black people.,African American community,"Activists, general public",Positive,,
672,Supreme Court Upholds Obamacare,28,June,2012,USA,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive,38.9071923,-77.0368707
673,USUnknownMexico Border Wall Expansion,             ,Unknown,2017,USA,Political/Infrastructure,USUnknownMexico Border,Controversial project aimed at curbing illegal immigration and trafficking.,"Migrants, American citizens",Donald Trump,Mixed,29.2779351,-107.1352887
674,SameUnknownSex Marriage Legalization,26,June,2015,USA,Legal,Nationwide,"Supreme Court legalized sameUnknownsex marriage, a landmark decision.","LGBTQ+ community, citizens","Supreme Court, LGBTQ+ activists",Positive,,
675,#MeToo Movement,             ,Unknown,2017,USA,Social Movement,Nationwide,"Movement against sexual harassment and assault, sparking global conversations.","Survivors, general public","Tarana Burke, Alyssa Milano",Positive,,
676,Capitol Riot,6,January,2021,USA,Political,Washington D.C.,"Violent attack on the US Capitol, leading to concerns about democracy.",American citizens,"Proponents of false claims, law enforcement",Negative,38.9071923,-77.0368707
677,George Floyd Protests and Derek Chauvin Trial,             ,Unknown,2020,USA,Social Movement/Legal,Nationwide,Nationwide protests against racial injustice; Derek Chauvin's trial and conviction.,"Black community, citizens","Activists, legal system",Mixed,,
678,Paris Agreement Rejoining,20,January,2021,USA,Environmental,International,"Rejoined the Paris Agreement, signaling renewed commitment to climate action.",Global community,"Joe Biden, International leaders",Positive,38.7945952,-106.5348379
679,Hurricane Sandy,29,October,2012,USA,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative,38.029601,-77.9281719
680,Affordable Care Act (Obamacare) Implementation,             ,Unknown,2010,USA,Healthcare,Nationwide,Implementation of the Affordable Care Act aimed at improving healthcare access.,American citizens,"Barack Obama, Healthcare professionals",Positive,,
681,March on Washington for Jobs and Freedom,28,August,1963,USA,Social Movement,Washington D.C.,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech.","Civil rights activists, citizens","Martin Luther King Jr., Activists",Positive,38.9071923,-77.0368707
682,Assassination of President John F. Kennedy,22,November,1963,USA,Political,"Dallas, Texas","Shocked the nation, leading to significant political consequences.",American public,Lee Harvey Oswald (alleged),Negative,32.7766642,-96.79698789999999
683,Stonewall Riots,28,June,1969,USA,Social Movement,"New York, NY",Marked the beginning of the modern LGBTQ+ rights movement.,LGBTQ+ community,"LGBTQ+ activists, police",Positive,40.7127753,-74.0059728
684,Roe v. Wade Supreme Court Decision,22,January,1973,USA,Judicial,Washington D.C.,"Legalized abortion nationwide, sparking ongoing debates.",Women nationwide,Supreme Court,Positive,38.9071923,-77.0368707
685,Tech Boom and DotUnknowncom Bubble,             ,Unknown,1990,USA,Economic,"Silicon Valley, CA","Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors",Mixed,37.387474,-122.0575434
686,Enactment of the Patriot Act,26,October,2001,USA,Legislative,Nationwide,"Expanded surveillance powers postUnknown9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed,,
687,Housing Market Crash and Great Recession,             ,Unknown,2008,USA,Economic,Nationwide,"Triggered global financial crisis, leading to widespread economic hardship.","Homeowners, global economy","Financial institutions, government",Negative,,
688,Charlottesville Rally and Violence,12,August,2017,USA,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative,38.0301826,-78.4769353
689,US Recognition of Jerusalem as Israel's Capital,6,December,2017,USA,International Policy,International,"Shifted US foreign policy, leading to global reactions and tensions.",International community,"Donald Trump, Israeli government",Mixed,38.7945952,-106.5348379
690,January 6 Capitol Attack,6,January,2021,USA,Domestic Terrorism,Washington D.C.,"Attempt to overturn the 2020 presidential election results, challenging democratic norms.",American public,"ProUnknownTrump rioters, U.S. Congress",Negative,38.9071923,-77.0368707
691,Withdrawal from Afghanistan,30,August,2021,USA,Military,Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover.","Afghan citizens, U.S. military","U.S. Government, Taliban",Negative,33.93911,67.709953
692,First Woman Vice President Elected,20,January,2021,USA,Political,Nationwide,"Kamala Harris becomes the first female, first Black, and first Asian American vice president.",American citizens,"Kamala Harris, American voters",Positive,,
693,Supreme Court Overturns Roe v. Wade,24,June,2022,USA,Judicial,Nationwide,"Ended federal protection for abortion rights, leaving regulation to states.",Women nationwide,U.S. Supreme Court,Negative,,
694,Launch of James Webb Space Telescope,25,December,2021,USA,Space Exploration,Space,"Advanced space observatory to study the universe, successor to Hubble.",Global community,"NASA, ESA, CSA",Positive,38.7945952,-106.5348379
695,Boston Tea Party,16,December,1773,USA,Political Protest,"Boston, MA",Protest against British taxes on tea; pivotal event leading to the American Revolution.,Colonists,American Patriots,Positive,42.3555076,-71.0565364
696,Lewis and Clark Expedition,             ,May,1804,USA,Exploration,Western USA,Expedition to explore the newly acquired western territory of the United States.,American explorers,"Meriwether Lewis, William Clark",Positive,43.9840719,-117.6277515
697,California Gold Rush,             ,January,1848,USA,Economic,California,Led to a massive influx of settlers and rapid economic growth.,Prospective miners,James W. Marshall,Positive,36.778261,-119.4179324
698,Seneca Falls Convention,19,July,1848,USA,Social Movement,"Seneca Falls, NY","First women's rights convention in the U.S., sparking the suffrage movement.","Women, activists","Elizabeth Cady Stanton, Lucretia Mott",Positive,42.9106219,-76.7966215
699,Emancipation Proclamation,1,January,1863,USA,Legislative,Confederate States,Declared the freedom of all slaves in ConfederateUnknownheld territory.,Enslaved African Americans,Abraham Lincoln,Positive,38.7945952,-106.5348379
700,Transcontinental Railroad Completed,10,May,1869,USA,Infrastructure,"Promontory, Utah","Connected the East and West coasts, facilitating travel and commerce.",American settlers,"Union Pacific, Central Pacific Railroads",Positive,41.61977,-112.546791
701,SpanishUnknownAmerican War,             ,April,1898,USA,Military,"Cuba, Philippines",Resulted in U.S. acquiring territories and emerging as a world power.,"Cubans, Filipinos, Americans",William McKinley,Positive,12.879721,121.774017
702,Wright Brothers' First Flight,17,December,1903,USA,Aviation,"Kitty Hawk, NC",Marked the beginning of powered flight and the aviation era.,Global population,Orville and Wilbur Wright,Positive,36.0646102,-75.7057346
703,MexicanUnknownAmerican War,             ,April,1846,USA,Military,Southwestern USA,Resulted in U.S. acquiring territories including California and New Mexico.,"Mexican, American citizens",James K. Polk,Positive,38.7945952,-106.5348379
704,Dred Scott Decision,6,March,1857,USA,Judicial,Supreme Court,Ruled African Americans could not be American citizens and negated Missouri Compromise.,African Americans,Supreme Court,Negative,38.8906424,-77.0044398
705,Homestead Act,20,May,1862,USA,Legislative,Western Territories,"Provided land to settlers for development, leading to westward expansion.",American settlers,Abraham Lincoln,Positive,38.7945952,-106.5348379
706,Completion of the Panama Canal,15,August,1914,USA,Engineering Achievement,Panama,Facilitated maritime trade between Atlantic and Pacific oceans.,Global shipping industry,"Theodore Roosevelt, Engineers",Positive,35.1673193,-94.67244649999999
707,Entry into World War I,6,April,1917,USA,Military,Europe,"Marked U.S. entry into WWI, significant impact on the war's outcome.","European, American forces",Woodrow Wilson,Mixed,38.7945952,-106.5348379
708,Prohibition Era Begins,17,January,1920,USA,Legislative,Nationwide,"Nationwide ban on alcohol production, sale, and transport.",American citizens,"US Government, Temperance movements",Negative,,
709,Social Security Act,14,August,1935,USA,Social Welfare Legislation,Nationwide,Established a system of oldUnknownage benefits and unemployment insurance.,"American workers, elderly",Franklin D. Roosevelt,Positive,,
710,Attack on Pearl Harbor,7,December,1941,USA,Military,"Pearl Harbor, HI",Prompted U.S. entry into World War II.,"American military, civilians",Imperial Japanese Navy,Negative,21.3548614,-157.97681545
711,Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,Unknown,July,1945,USA,Military/Science,"Hiroshima, Nagasaki","Led to the end of World War II, significant ethical and geopolitical implications.","Japanese civilians, global community","U.S. Government, Scientists",Mixed,34.3852894,132.4553055
712,Marshall Plan Implementation,             ,Unknown,1948,USA,Economic Aid,Western Europe,"U.S. program to aid Europe's recovery postUnknownWWII, strengthened Western alliances.",European nations,George Marshall,Positive,38.7945952,-106.5348379
713,United Nations Charter Ratification,26,June,1945,USA,International Relations,"San Francisco, CA","Founding of the United Nations, promoting international cooperation and peace.",Global community,"Franklin D. Roosevelt, International Leaders",Positive,37.7749295,-122.4194155
714,Founding of Jamestown,14,May,1607,USA,Settlement,"Jamestown, VA","First permanent English settlement in the Americas, economic and cultural development.","English settlers, Native Americans","John Smith, Virginia Company of London",Positive,37.2200655,-76.745195
715,Salem Witch Trials,             ,February,1692,USA,Legal,"Salem, MA",Series of hearings and prosecutions of people accused of witchcraft.,Residents of Salem,Local magistrates,Negative,42.5197473,-70.8954626
716,French and Indian War,             ,Unknown,1754,USA,Military,Eastern North America,"Conflict between British America and New France, part of a larger imperial war.","British, French colonies, Native Americans",British and French Empires,Mixed,37.51647579999999,-82.8067126
717,Boston Massacre,5,March,1770,USA,PreUnknownRevolutionary Conflict,"Boston, MA","British soldiers killed five civilian men, fueling tensions leading to the revolution.",American colonists,British Army,Negative,42.3555076,-71.0565364
718,Writing of the Federalist Papers,             ,October,1787,USA,Political,"New York, NY",Essays promoting the ratification of the U.S. Constitution.,American public,"Alexander Hamilton, James Madison, John Jay",Positive,40.7127753,-74.0059728
719,War of 1812,             ,June,1812,USA,Military,"USA, Canada","Conflict with Britain over maritime rights, territorial expansion, and trade.","American, British citizens",James Madison,Mixed,38.7945952,-106.5348379
720,Missouri Compromise,             ,March,1820,USA,Legislative,Missouri,Attempted to balance power between slave and free states entering the Union.,"American settlers, slaves",Henry Clay,Mixed,37.9642529,-91.8318334
721,Trail of Tears,             ,Unknown,1838,USA,Forced Relocation,Southeastern USA,"Forced removal of Cherokee and other tribes from their lands, many deaths.",Native American tribes,Andrew Jackson,Negative,37.8431142,-78.3534145
722,Compromise of 1850,             ,September,1850,USA,Legislative,Washington D.C.,Series of laws attempting to address slavery and territorial expansion.,"American public, slaves","Henry Clay, Stephen A. Douglas",Mixed,38.9071923,-77.0368707
723,KansasUnknownNebraska Act,30,May,1854,USA,Legislative,"Kansas, Nebraska","Allowed states to decide on slavery, leading to ""Bleeding Kansas"" and heightened sectional tensions.","American settlers, slaves",Stephen A. Douglas,Negative,39.011902,-98.4842465
724,Alaska Purchase,30,March,1867,USA,Territorial Acquisition,Alaska,"Acquisition of Alaska from Russia, significantly expanding U.S. territory.",American settlers,William H. Seward,Positive,63.588753,-154.4930619
725,Reconstruction Era,             ,Unknown,1865,USA,PostUnknownCivil War Reconstruction,Southern USA,"Attempt to rebuild and reform the Southern states postUnknownCivil War, mixed success.","Southern Americans, freed slaves",U.S. Government,Mixed,37.8431142,-78.3534145
726,Gilded Age,             ,Unknown,1870,USA,Economic/Social,Nationwide,"Period of rapid economic growth, industrialization, and political corruption.",American citizens,"Industrialists, politicians",Mixed,,
727,Confederation of Canada,1,July,1867,Canada,Political,Ottawa,Unification of provinces into a single dominion within the British Empire.,Canadians,"John A. Macdonald, GeorgeUnknownÉtienne Cartier",Positive,45.4200572,-75.7003397
728,Completion of the Canadian Pacific Railway,7,November,1885,Canada,Infrastructure,Nationwide,"Connected Eastern Canada to the West, facilitating settlement and trade.",Canadian settlers,Sir John A. Macdonald,Positive,56.130366,-106.346771
729,Battle of Vimy Ridge,9,April,1917,Canada,Military,"Vimy Ridge, France",Marked a turning point in Canadian national pride and military achievement.,Canadian soldiers,Canadian Corps,Positive,56.130366,-106.346771
730,Discovery of Insulin,27,July,1921,Canada,Medical,Toronto,"Revolutionized the treatment of diabetes, saving countless lives.",Diabetics worldwide,"Frederick Banting, Charles Best",Positive,43.653226,-79.3831843
731,Newfoundland Joins Canada,31,March,1949,Canada,Political,Newfoundland,Newfoundland became the tenth province of Canada.,Newfoundlanders,Joey Smallwood,Positive,54.2730918,-61.7387586
732,Adoption of the Maple Leaf Flag,15,February,1965,Canada,Cultural,Ottawa,The maple leaf became the national symbol on Canada's flag.,Canadians,Lester B. Pearson,Positive,45.4200572,-75.7003397
733,Official Languages Act,9,September,1969,Canada,Legislative,Nationwide,Recognized English and French as the official languages of Canada.,Canadian citizens,Pierre Elliott Trudeau,Positive,56.130366,-106.346771
734,Canada Act 1982 (Patriation of the Constitution),17,April,1982,Canada,Legislative,Ottawa,"Gave Canada full sovereignty, including the ability to amend its constitution.",Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive,45.4200572,-75.7003397
735,Oka Crisis,11,July,1990,Canada,Social Unrest,"Oka, Quebec","Standoff between Mohawk protesters, Quebec police, and the Canadian army.","Mohawk community, Canadians","Mohawk protestors, Canadian government",Negative,45.46514440000001,-74.0798679
736,NAFTA Agreement Signed,17,December,1992,Canada,Economic,Ottawa,North American Free Trade Agreement altered trade relations with the U.S. and Mexico.,Canadian businesses,Brian Mulroney,Mixed,45.4200572,-75.7003397
737,Apology to Residential School Survivors,11,June,2008,Canada,Social Justice,Ottawa,Official apology to Indigenous peoples for the residential school system.,Indigenous communities,Stephen Harper,Positive,45.4200572,-75.7003397
738,Vancouver Winter Olympics,12,February,2010,Canada,Sports,Vancouver,"Hosted the Winter Olympics, showcasing Canada on the world stage.","Athletes, global audience",VANOC,Positive,49.2827291,-123.1207375
739,Legalization of SameUnknownSex Marriage,20,July,2005,Canada,Legislative,Nationwide,Made Canada the fourth country worldwide to legalize sameUnknownsex marriage.,LGBTQ+ community,Paul Martin,Positive,56.130366,-106.346771
740,Cannabis Legalization,17,October,2018,Canada,Legislative,Nationwide,Canada became the second country to legalize the recreational use of cannabis.,Canadian adults,Justin Trudeau,Positive,56.130366,-106.346771
741,Murdered and Missing Indigenous Women Inquiry,8,December,2015,Canada,Social Justice,Nationwide,National inquiry into the systemic causes of violence against Indigenous women.,Indigenous communities,Justin Trudeau,Ongoing,56.130366,-106.346771
742,Fort McMurray Wildfire,1,May,2016,Canada,Natural Disaster,"Fort McMurray, AB","One of Canada's costliest disasters, leading to massive evacuations.",Residents of Fort McMurray,Unknown,Negative,56.7266231,-111.3790095
743,Establishment of Nunavut,1,April,1999,Canada,Political,Northern Canada,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance.",Inuit population,"Canadian Government, Inuit leaders",Positive,56.130366,-106.346771
744,Quebec Referendum on Sovereignty,30,October,1995,Canada,Political,Quebec,"Referendum on Quebec's independence from Canada, narrowly defeated.",Quebecers,"Jacques Parizeau, Lucien Bouchard",Negative,46.8130816,-71.20745959999999
745,Charlottetown Accord Referendum,26,October,1992,Canada,Political,Nationwide,Proposed constitutional changes defeated in a national referendum.,Canadian citizens,"Brian Mulroney, Provincial Premiers",Negative,56.130366,-106.346771
746,Red River Resistance,             ,Unknown,1869,Canada,Political,Red River Colony,"Led by Métis leader Louis Riel, resisting Canadian authority to maintain Métis rights and culture.","Métis, settlers",Louis Riel,Mixed,48.28017180173856,-96.97768198836815
747,Klondike Gold Rush,             ,Unknown,1896,Canada,Economic,Yukon,"Attracted thousands of prospectors to the Yukon, significant economic impact.","Prospectors, Indigenous peoples",Unknown,Positive,64.2823274,-135
748,Halifax Explosion,6,December,1917,Canada,Disaster,"Halifax, NS","One of the world's largest nonUnknownnuclear explosions, devastating Halifax.",Residents of Halifax,Unknown,Negative,44.6508608,-63.5923256
749,Internment of Japanese Canadians,             ,Unknown,1942,Canada,Civil Rights Violation,British Columbia,"Internment of Japanese Canadians during WWII, violation of civil liberties.",Japanese Canadian community,Canadian Government,Negative,53.7266683,-127.6476206
